	headline_time_created	headline_id	headline_text	headline_language	headline_source	headline_url
0	Sat, 25 Jul 2020 15:58:00 GMT	52780948641976	Tropical Storm Hanna upgrades to a hurricane, bringing heavy rain to Houston - Chron		Chron	https://news.google.com/__i/rss/rd/articles/CBMibGh0dHBzOi8vd3d3LmNocm9uLmNvbS9uZXdzL2hvdXN0b24td2VhdGhlci9hcnRpY2xlL1Ryb3BpY2FsLVN0b3JtLUhhbm5hLXVwZ3JhZGVzLXRvLWEtaHVycmljYW5lLTE1NDMzNzI4LnBocNIBaGh0dHBzOi8vd3d3LmNocm9uLmNvbS9uZXdzL2hvdXN0b24td2VhdGhlci9hbXAvVHJvcGljYWwtU3Rvcm0tSGFubmEtdXBncmFkZXMtdG8tYS1odXJyaWNhbmUtMTU0MzM3MjgucGhw?oc=5
1	Sat, 25 Jul 2020 19:08:00 GMT	52780948590446	Florida now has more coronavirus cases than New York and California leads the nation - CNBC		CNBC	https://news.google.com/__i/rss/rd/articles/CBMieWh0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjAvMDcvMjUvZmxvcmlkYS1ub3ctaGFzLW1vcmUtY29yb25hdmlydXMtY2FzZXMtdGhhbi1uZXcteW9yay1hbmQtY2FsaWZvcm5pYS1sZWFkcy10aGUtbmF0aW9uLmh0bWzSAX1odHRwczovL3d3dy5jbmJjLmNvbS9hbXAvMjAyMC8wNy8yNS9mbG9yaWRhLW5vdy1oYXMtbW9yZS1jb3JvbmF2aXJ1cy1jYXNlcy10aGFuLW5ldy15b3JrLWFuZC1jYWxpZm9ybmlhLWxlYWRzLXRoZS1uYXRpb24uaHRtbA?oc=5
2	Sat, 25 Jul 2020 15:52:14 GMT	52780942128508	US officials raid Chinese consulate in Houston believed to be spy hub - Fox News		Fox News	https://news.google.com/__i/rss/rd/articles/CBMiSWh0dHA6Ly93d3cuZm94bmV3cy5jb20vcG9saXRpY3MvdXMtcmFpZC1jaGluZXNlLWNvbnN1bGF0ZS1ob3VzdG9uLXNweS1odWLSAU5odHRwczovL3d3dy5mb3huZXdzLmNvbS9wb2xpdGljcy91cy1yYWlkLWNoaW5lc2UtY29uc3VsYXRlLWhvdXN0b24tc3B5LWh1Yi5hbXA?oc=5
3	Sat, 25 Jul 2020 22:06:00 GMT	52780944259638	1 person stabbed as thousands protest in Portland; authorities earlier used tear gas on crowd - CNN		CNN	https://news.google.com/__i/rss/rd/articles/CBMiT2h0dHBzOi8vd3d3LmNubi5jb20vMjAyMC8wNy8yNS91cy9wb3J0bGFuZC1zdGFiYmluZy1wcm90ZXN0LXRlYXItZ2FzL2luZGV4Lmh0bWzSAVNodHRwczovL2FtcC5jbm4uY29tL2Nubi8yMDIwLzA3LzI1L3VzL3BvcnRsYW5kLXN0YWJiaW5nLXByb3Rlc3QtdGVhci1nYXMvaW5kZXguaHRtbA?oc=5
4	Sat, 25 Jul 2020 09:00:00 GMT	52780951100143	Will Trump’s Abrupt Shift on Coronavirus Re-energize His Campaign? - The New York Times		The New York Times	https://news.google.com/__i/rss/rd/articles/CBMiTGh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjAvMDcvMjUvdXMvcG9saXRpY3MvdHJ1bXAtZmxvcmlkYS1jb252ZW50aW9uLmh0bWzSAVBodHRwczovL3d3dy5ueXRpbWVzLmNvbS8yMDIwLzA3LzI1L3VzL3BvbGl0aWNzL3RydW1wLWZsb3JpZGEtY29udmVudGlvbi5hbXAuaHRtbA?oc=5
5	Sat, 25 Jul 2020 20:31:00 GMT	52780949757063	Sinclair to delay segment featuring 'Plandemic' conspiracy theory - POLITICO		POLITICO	https://news.google.com/__i/rss/rd/articles/CBMiamh0dHBzOi8vd3d3LnBvbGl0aWNvLmNvbS9uZXdzLzIwMjAvMDcvMjUvc2luY2xhaXItdG8tZGVsYXktc2VnbWVudC1vbi1wbGFuZGVtaWMtY29uc3BpcmFjeS10aGVvcmllcy0zODE0NTTSAW5odHRwczovL3d3dy5wb2xpdGljby5jb20vYW1wL25ld3MvMjAyMC8wNy8yNS9zaW5jbGFpci10by1kZWxheS1zZWdtZW50LW9uLXBsYW5kZW1pYy1jb25zcGlyYWN5LXRoZW9yaWVzLTM4MTQ1NA?oc=5
6	Fri, 24 Jul 2020 22:42:00 GMT	CBMia2h0dHBzOi8vd3d3LmxhdGltZXMuY29tL3dvcmxkLW5hdGlvbi9zdG9yeS8yMDIwLTA3LTI0L3RydW1wLWdvcC1hbGx5LXZvdy1jb25mZWRlcmF0ZS1iYXNlLW5hbWVzLXdvbnQtY2hhbmdl0gF1aHR0cHM6Ly93d3cubGF0aW1lcy5jb20vd29ybGQtbmF0aW9uL3N0b3J5LzIwMjAtMDctMjQvdHJ1bXAtZ29wLWFsbHktdm93LWNvbmZlZGVyYXRlLWJhc2UtbmFtZXMtd29udC1jaGFuZ2U_X2FtcD10cnVl	Trump and GOP ally vow Confederate base names won't change - Los Angeles Times		Los Angeles Times	https://news.google.com/__i/rss/rd/articles/CBMia2h0dHBzOi8vd3d3LmxhdGltZXMuY29tL3dvcmxkLW5hdGlvbi9zdG9yeS8yMDIwLTA3LTI0L3RydW1wLWdvcC1hbGx5LXZvdy1jb25mZWRlcmF0ZS1iYXNlLW5hbWVzLXdvbnQtY2hhbmdl0gF1aHR0cHM6Ly93d3cubGF0aW1lcy5jb20vd29ybGQtbmF0aW9uL3N0b3J5LzIwMjAtMDctMjQvdHJ1bXAtZ29wLWFsbHktdm93LWNvbmZlZGVyYXRlLWJhc2UtbmFtZXMtd29udC1jaGFuZ2U_X2FtcD10cnVl?oc=5
7	Sat, 25 Jul 2020 17:39:41 GMT	52780946167810	Hurricane Douglas to swipe Hawaii, producing flooding rain, damaging winds and huge waves - The Washington Post		The Washington Post	https://news.google.com/__i/rss/rd/articles/CBMigwFodHRwczovL3d3dy53YXNoaW5ndG9ucG9zdC5jb20vd2VhdGhlci8yMDIwLzA3LzI1L2h1cnJpY2FuZS1kb3VnbGFzLXN3aXBlLWhhd2FpaS1wcm9kdWNpbmctZmxvb2RpbmctcmFpbi1kYW1hZ2luZy13aW5kcy1odWdlLXdhdmVzL9IBkgFodHRwczovL3d3dy53YXNoaW5ndG9ucG9zdC5jb20vd2VhdGhlci8yMDIwLzA3LzI1L2h1cnJpY2FuZS1kb3VnbGFzLXN3aXBlLWhhd2FpaS1wcm9kdWNpbmctZmxvb2RpbmctcmFpbi1kYW1hZ2luZy13aW5kcy1odWdlLXdhdmVzLz9vdXRwdXRUeXBlPWFtcA?oc=5
8	Sat, 25 Jul 2020 01:41:15 GMT	52780948365802	Teen sentenced to life in prison for May 2019 school shooting - ABC News		ABC News	https://news.google.com/__i/rss/rd/articles/CBMiW2h0dHBzOi8vYWJjbmV3cy5nby5jb20vVVMvdGVlbi1zZW50ZW5jZWQtbGlmZS1wcmlzb24tMjAxOS1zY2hvb2wtc2hvb3Rpbmcvc3Rvcnk_aWQ9NzE5NDkwNTHSAV9odHRwczovL2FiY25ld3MuZ28uY29tL2FtcC9VUy90ZWVuLXNlbnRlbmNlZC1saWZlLXByaXNvbi0yMDE5LXNjaG9vbC1zaG9vdGluZy9zdG9yeT9pZD03MTk0OTA1MQ?oc=5
9	Sat, 25 Jul 2020 15:00:00 GMT	CAIiEBLdLNnQS5WDlq4R_MUF9nwqFQgEKg0IACoGCAowrqkBMKBFMLKAAg	Here Are The Latest Numbers For Second Stimulus Checks, Student Loans, Unemployment And More - Forbes		Forbes	https://news.google.com/__i/rss/rd/articles/CBMiYGh0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMvemFja2ZyaWVkbWFuLzIwMjAvMDcvMjUvc3RpbXVsdXMtY2hlY2tzLXVuZW1wbG95bWVudC1zdHVkZW50LWxvYW5zL9IBZGh0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMvemFja2ZyaWVkbWFuLzIwMjAvMDcvMjUvc3RpbXVsdXMtY2hlY2tzLXVuZW1wbG95bWVudC1zdHVkZW50LWxvYW5zL2FtcC8?oc=5
